danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_available_markets,track_explicit,artist_number_featured,track_popularity,track_album_release_date_precision,track_duration_ms,track_album_total_tracks,award_status
0.615,0.467,1,-9.883,1,0.0327,0.314,0.0,0.099,0.177,119.919,4,185,0,0,74,0,273666,16,winner
0.371,0.505,2,-9.052,0,0.0314,0.382,0.0,0.115,0.564,193.246,4,185,0,0,52,0,258239,16,winner
0.572,0.768,5,-6.378,0,0.057,0.0387,0.0,0.298,0.61,175.827,4,185,0,0,39,0,271226,16,winner
0.278,0.369,7,-10.364,0,0.0389,0.67,0.00072,0.0865,0.183,176.663,3,185,0,0,41,0,226306,16,winner
0.344,0.325,11,-10.005,0,0.0287,0.35,0.0223,0.0686,0.0775,118.515,4,185,0,0,67,0,312306,16,winner
0.718,0.895,0,-6.718,1,0.0324,0.0483,0.0,0.0855,0.856,117.049,4,185,0,0,35,0,260532,16,winner
0.599,0.459,1,-8.786,0,0.0297,0.184,0.0,0.351,0.152,104.721,3,185,0,0,45,0,220893,16,winner
0.528,0.482,9,-8.872,1,0.03,0.254,0.0,0.285,0.264,166.073,4,185,0,0,44,0,307733,16,winner
0.438,0.496,1,-7.905,0,0.0262,0.436,0.0,0.225,0.257,176.984,3,185,0,0,64,0,330200,16,winner
0.661,0.495,2,-9.159,1,0.0457,0.145,3.89e-06,0.0639,0.434,89.944,4,185,0,0,54,0,252493,16,winner
0.366,0.483,4,-8.411,0,0.0367,0.303,2.83e-05,0.079,0.0372,180.064,3,185,0,0,39,0,278906,16,winner
0.476,0.886,0,-5.86,0,0.0668,0.114,0.0,0.81,0.653,166.964,4,185,0,0,51,0,250560,16,winner
0.587,0.659,0,-9.221,1,0.0355,0.0873,0.0,0.354,0.225,147.964,4,185,0,0,33,0,312493,16,winner
0.569,0.372,10,-10.429,1,0.0307,0.625,0.00043,0.0839,0.188,126.125,4,185,0,0,46,0,368266,16,winner
0.233,0.131,4,-17.202,1,0.0381,0.918,2.61e-05,0.0687,0.0676,86.493,1,185,0,0,40,0,178200,16,winner
0.478,0.335,9,-11.701,0,0.0322,0.57,3.3e-06,0.125,0.374,128.273,4,184,0,0,33,0,323666,11,nominee
0.634,0.455,4,-11.18,0,0.038,0.243,0.0449,0.0848,0.762,125.19,4,184,0,0,39,0,333173,11,nominee
0.508,0.489,9,-11.604,1,0.027,0.429,9.82e-05,0.0925,0.592,143.062,4,184,0,0,43,0,399200,11,nominee
0.463,0.253,7,-14.675,1,0.0294,0.69,0.000159,0.204,0.144,99.585,4,184,0,0,33,0,340560,11,nominee
0.496,0.284,9,-13.795,1,0.0378,0.726,0.00018,0.123,0.187,80.629,4,184,0,0,42,0,308666,11,nominee
0.496,0.0975,1,-17.234,1,0.0318,0.703,0.000714,0.0951,0.36,141.397,4,184,0,0,58,0,327866,11,nominee
