track_album_id,album_name,artist,featured_artist_album,featured_artist_track_mean,duration_album,duration_track_mean,danceability_mean,energy_mean,key_mode,loudness_mean,mode_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,time_signature_mean,avaliable_markets,explicit_tracks,track_popularity,release_date,release_date_precision
1ibYM4abQtSVQFQWvDSo4J,Daydream,Mariah Carey,1,0.08333333333333333,2789168,232430.66666666666,0.5113333333333333,0.47533333333333333,7,-9.791666666666666,1,0.03944166666666667,0.4525,1.262675e-4,0.11911666666666666,0.34053333333333335,123.07416666666667,4,185,0,49.75,1995,day
1k1Cr3nlJDa8pvwZUJ5xfj,Ricky Martin,Ricky Martin,4,0.2857142857142857,3560008,254286.2857142857,0.5485,0.8347857142857142,11,-5.7335714285714285,0,0.046035714285714284,0.13900928571428572,0.007076885000000001,0.21032142857142858,0.5960714285714286,126.95721428571429,4,185,0,40.42857142857143,NA,year
1mSECpFqHRW6leG4idqTE1,Seal,Seal,0,0,3031287,275571.54545454547,0.508,0.5866363636363636,2,-9.352,1,0.03844545454545455,0.37531818181818183,0.051394308181818185,0.17632727272727272,0.3160909090909091,120.45618181818182,4,184,0,35.63636363636363,1994,day
1r6NoADkFvVSpyFnJjcuLe,Brand New Day,Sting,1,0.1,2934643,293464.3,0.5844,0.5376,1,-11.829600000000001,1,0.04657,0.22516999999999998,0.014965344,0.10707,0.38098,118.7786,4,3,0,26.8,1999,day
1saoZHjleM0tAQQoCvpMrB,Bedtime Stories,Madonna,2,0.18181818181818182,3108116,282556,0.6936363636363636,0.5821818181818181,7,-9.389454545454546,1,0.044,0.22459727272727273,0.06446837181818182,0.1198090909090909,0.5165454545454545,99.91727272727273,4,184,0,39.63636363636363,1994,day
1tfS7Fo1UtAxQSf256fnYs,Let's Talk About Love,Céline Dion,3,0.1875,4465888,279118,0.5133125000000001,0.4363125,10,-9.6334375,1,0.044,0.40415625,1.055e-5,0.14375625,0.2790125,117.1695625,4,185,0,44.9375,1997,day
1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans,Bruno Mars,3,0.3,2126642,212664.2,0.6454,0.6763,5,-5.2465,0,0.04535,0.30497,3.7e-7,0.14069,0.55524,123.1702,4,39,0,70,2010,day
1xJHno7SmdVtZAtXbdbDZp,GUTS,Olivia Rodrigo,0,0,2358517,196543.08333333334,0.48983333333333334,0.5875,9,-6.278333333333333,1,0.06893333333333333,0.35343416666666666,7.441666666666667e-7,0.176725,0.43183333333333335,128.60633333333334,4,183,7,73.58333333333333,2023,day
1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),Ed Sheeran,0,0,3956377,247273.5625,0.685375,0.4880625,2,-8.0725,1,0.06603125,0.45783125,7.8835e-5,0.19366250000000002,0.5650625,102.8679375,4,152.8125,0,55.625,2014,day
1z0O8lKuQRs974S8wcRiAs,Extraordinary Machine,Fiona Apple,0,0,3022355,251862.91666666666,0.56225,0.47583333333333333,0,-8.7775,1,0.034975,0.36445833333333333,0.00837506,0.1267,0.40421666666666667,128.55433333333332,4,185,0,42.416666666666664,2005,day
20RMokVwJ2wjQ0s8FOdOFC,No Strings Attached,*NSYNC,1,0.08333333333333333,2825997,235499.75,0.6505,0.7995833333333333,0,-5.087166666666667,1,0.05479166666666667,0.16531841666666666,0.006795045833333333,0.19505833333333333,0.67325,129.97491666666667,4,185,0,48.333333333333336,2000,day
21jF5jlMtzo94wbxmJ18aa,30,Adele,0,0,3498028,291502.3333333333,0.5065833333333334,0.48266666666666663,5,-7.6450000000000005,1,0.0682,0.592175,3.911958333333333e-4,0.14403333333333335,0.33,131.84133333333332,4,185,0,64.75,2021,day
23pjCUj0AFDWNgh9uto3yR,"Whoa, Nelly!",Nelly Furtado,0,0,2949023,245751.91666666666,0.6875,0.70025,7,-5.744416666666667,0,0.09066666666666667,0.22024416666666666,0.003656990833333333,0.24273333333333333,0.58575,143.20116666666667,4,3,2,19.75,2000,day
245704RhuUXj2ty55RKoJh,Detours,Sheryl Crow,0,0,3180127,227151.92857142858,0.6223571428571428,0.5367857142857143,6,-8.381785714285714,1,0.039028571428571426,0.30564714285714284,3.546842857142857e-4,0.18867142857142857,0.5987857142857143,123.90457142857143,4,3,0,8.928571428571429,2008,day
29hJ8AFYZU98OzenrMr6iU,It Won't Be Soon Before Long.,Maroon 5,0,0,2436968,203080.66666666666,0.6715833333333333,0.78825,4,-3.355,1,0.046191666666666666,0.07597916666666667,5.560316666666667e-4,0.18994166666666668,0.649,119.81266666666667,4,2,1,40,2007,day
2FCeFtMkigKLecYFX4syuH,Love. Angel. Music. Baby. (15th Anniversary Edition / Remastered 2019),Gwen Stefani,3,0.25,2898518,241543.16666666666,0.75525,0.8616666666666667,2,-3.0515833333333333,1,0.07948333333333334,0.06964108333333333,2.765025e-4,0.247075,0.7041666666666667,127.24691666666666,4,183,1,30.333333333333332,2019,day
2G4AUqfwxcV1UdQjm2ouYr,Ghost Stories,Coldplay,0,0,2418118,268679.77777777775,0.5085555555555555,0.48133333333333334,6,-10.215777777777777,1,0.03217777777777778,0.28512,0.39799666666666667,0.12331111111111111,0.21375555555555553,116.31366666666666,4,185,0,61,2014,day
2KkMVsxymoNR7hRmBcMttd,Born This Way,Lady Gaga,0,0,3673113,262365.21428571426,0.6170714285714286,0.8125714285714286,1,-5.545214285714286,1,0.05682857142857143,0.007311071428571428,0.019963796428571427,0.2982,0.48142857142857143,124.78464285714286,4,3,0,42.714285714285715,2011,day
2MJc2N3eFVT0ZabBN4zc32,Two Against Nature,Steely Dan,0,0,3090398,343377.55555555556,0.8077777777777778,0.49100000000000005,10,-9.403777777777778,0,0.044866666666666666,0.35888888888888887,0.020232728888888888,0.11773333333333334,0.6843333333333333,121.68688888888889,4,184,0,31.11111111111111,2000,day
2NmFo81WSiknE3NMGvKdnk,Blurred Lines,Robin Thicke,8,0.5,3754088,234630.5,0.6954375,0.7245625,2,-5.424375,0,0.0580375,0.08037124999999999,0.001224765,0.16136875,0.64,128.207375,4,2,4,4.5625,2013,day
