danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_available_markets,track_explicit,artist_number_featured,track_popularity,track_album_release_date_precision,track_duration_ms,track_album_total_tracks,award_status
0.67,0.58,2,-10.551,1,0.0307,0.524,0.00754,0.177,0.673,137.897,4,185,0,0,17,0,293600,13,winner
0.701,0.373,4,-11.51,1,0.0285,0.571,2.86e-06,0.0989,0.344,104.048,4,185,0,0,19,0,236600,13,winner
0.499,0.234,11,-14.486,1,0.0423,0.824,0.00116,0.105,0.335,97.58,4,185,0,0,20,0,147533,13,winner
0.33,0.393,2,-13.055,1,0.0405,0.0576,0.00394,0.152,0.24,178.913,5,185,0,0,13,0,141333,13,winner
0.519,0.311,4,-12.156,1,0.0403,0.711,0.17,0.108,0.135,139.91,4,184,0,0,46,0,308880,13,winner
0.618,0.477,8,-12.823,0,0.0347,0.585,0.0239,0.168,0.195,100.488,4,184,0,0,41,0,300600,13,winner
0.57,0.907,3,-7.822,1,0.0302,0.00111,0.618,0.0642,0.7,127.183,4,184,0,0,57,0,322000,13,winner
0.609,0.651,1,-11.054,0,0.0451,0.0297,0.413,0.0994,0.37,97.12,4,184,0,0,40,0,276640,13,winner
0.572,0.806,8,-12.316,1,0.0645,0.339,0.832,0.0681,0.388,142.951,4,184,0,0,41,0,381333,13,winner
0.708,0.708,0,-6.933,1,0.0383,0.0518,0.0117,0.0781,0.253,116.892,4,184,0,0,51,0,267345,13,winner
0.526,0.57,10,-10.504,1,0.0379,0.0723,0.707,0.106,0.212,139.952,4,184,0,0,41,0,287733,13,winner
0.638,0.77,11,-9.501,1,0.0403,0.0583,0.0835,0.117,0.421,139.849,4,184,0,0,39,0,268666,13,winner
0.601,0.617,1,-10.917,1,0.0354,0.661,0.0148,0.149,0.31,108.013,4,184,0,0,60,0,367333,13,winner
0.468,0.544,5,-11.574,0,0.0455,0.0391,0.741,0.175,0.22,84.987,4,184,0,0,58,0,251160,13,winner
0.554,0.543,10,-12.417,0,0.0356,0.721,0.306,0.0659,0.656,88.035,4,184,0,0,40,0,322746,13,winner
0.445,0.602,1,-10.49,0,0.041,0.486,0.00866,0.133,0.35,144.923,4,184,0,0,37,0,318466,13,winner
0.329,0.175,4,-17.667,1,0.0476,0.929,0.000545,0.106,0.16,98.38,3,184,0,0,34,0,331760,13,winner
0.605,0.437,1,-10.473,1,0.0373,0.37,0.055,0.11,0.33,81.967,4,3,0,0,36,0,358066,10,winner
0.581,0.654,0,-7.9,0,0.0316,0.0145,0.0,0.114,0.131,111.999,4,3,0,1,52,0,285893,10,winner
0.687,0.52,11,-12.275,0,0.0452,0.0609,0.0182,0.114,0.366,160.084,4,3,0,0,23,0,305106,10,winner
0.642,0.787,10,-8.224,0,0.0345,0.0633,2.32e-06,0.108,0.547,109.484,4,3,0,0,25,0,303020,10,winner
0.763,0.56,1,-8.343,1,0.0853,0.0823,0.0,0.112,0.477,88.968,4,3,0,0,21,0,324226,10,winner
0.626,0.496,7,-11.964,0,0.0385,0.114,3.19e-05,0.111,0.507,97.042,4,3,0,0,20,0,289373,10,winner
0.355,0.108,2,-30.056,1,0.0438,0.722,0.0764,0.106,0.0388,159.06,3,3,0,0,1,0,20960,10,winner
0.429,0.66,2,-9.821,1,0.0425,0.0497,5.04e-06,0.115,0.552,101.635,3,3,0,0,21,0,338573,10,winner
0.66,0.351,4,-11.816,1,0.0281,0.585,4.5e-06,0.104,0.47,120.091,4,3,0,0,26,0,329600,10,winner
0.496,0.803,4,-7.424,1,0.0789,0.19,9.68e-06,0.0767,0.391,157.456,3,3,0,0,43,0,379826,10,winner
0.858,0.546,9,-8.08,1,0.0537,0.331,0.0278,0.0543,0.824,102.998,4,184,0,0,33,0,353800,9,winner
0.883,0.4,9,-9.648,0,0.0441,0.295,4.56e-06,0.114,0.669,112.998,4,184,0,0,35,0,317400,9,winner
0.699,0.784,1,-7.955,1,0.0598,0.119,0.00239,0.0752,0.809,179.99,3,184,0,0,28,0,377866,9,winner
0.916,0.365,10,-8.676,0,0.0476,0.077,0.0231,0.092,0.749,105.986,4,184,0,0,29,0,249106,9,winner
0.808,0.456,7,-11.07,0,0.0282,0.664,0.00585,0.109,0.383,111.034,4,184,0,0,29,0,249933,9,winner
0.899,0.388,6,-9.037,0,0.0461,0.345,0.0259,0.0665,0.69,91.506,4,184,0,0,40,0,377600,9,winner
0.832,0.554,10,-8.918,1,0.0441,0.17,0.0495,0.0796,0.859,139.978,4,184,0,0,36,0,328293,9,winner
0.635,0.39,10,-12.198,0,0.0306,0.61,0.00735,0.269,0.419,101.16,4,184,0,0,25,0,334800,9,winner
0.74,0.536,11,-9.052,0,0.0496,0.619,0.0402,0.2,0.757,149.532,4,184,0,0,25,0,501600,9,winner
0.653,0.429,11,-10.473,1,0.0297,0.0849,0.00371,0.0693,0.627,146.073,4,185,0,0,69,0,274933,11,winner
0.786,0.362,7,-11.289,1,0.1,0.0732,0.393,0.0879,0.565,83.991,4,185,0,0,55,0,274266,11,winner
0.722,0.426,8,-9.952,1,0.0378,0.366,0.022,0.0743,0.38,82.489,4,185,0,0,54,0,293000,11,winner
0.772,0.28,5,-9.527,0,0.0856,0.0225,0.476,0.318,0.522,168.023,4,185,0,0,51,0,301266,11,winner
0.804,0.52,4,-8.382,1,0.035,0.224,0.00518,0.0944,0.688,81.032,4,185,0,0,53,0,160626,11,winner
0.848,0.391,9,-9.557,0,0.0489,0.0753,0.000533,0.0729,0.687,118.005,4,185,0,0,42,0,252466,11,winner
0.686,0.0939,0,-18.367,1,0.041,0.92,0.000496,0.106,0.307,120.646,3,185,0,0,42,0,138626,11,winner
0.78,0.497,9,-8.725,0,0.0414,0.0745,0.000395,0.107,0.403,88.028,4,185,0,0,42,0,244706,11,winner
0.746,0.364,2,-9.891,1,0.072,0.0306,0.00194,0.12,0.619,170.017,4,185,0,0,44,0,228026,11,winner
0.744,0.447,2,-11.735,1,0.0437,0.0194,0.00103,0.0771,0.78,145.855,4,185,0,0,58,0,253106,11,winner
0.373,0.0185,6,-22.553,1,0.0383,0.97,0.000186,0.11,0.148,71.675,3,185,0,0,43,0,233533,11,winner
0.745,0.219,5,-11.216,1,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,4,183,0,0,37,0,186251,14,winner
0.592,0.193,7,-13.876,1,0.0334,0.955,0.00508,0.117,0.383,127.381,4,183,0,0,33,0,145413,14,winner
0.521,0.124,2,-13.027,1,0.0432,0.866,0.00112,0.0801,0.377,170.933,3,183,0,0,33,0,218600,14,winner
0.691,0.322,5,-9.852,1,0.0313,0.809,4.4e-05,0.104,0.374,109.399,4,183,0,0,33,0,177373,14,winner
0.436,0.141,0,-13.271,1,0.0308,0.902,2.81e-06,0.126,0.146,76.64,3,183,0,0,35,0,198226,14,winner
0.593,0.27,0,-12.142,1,0.0274,0.892,0.00198,0.0976,0.479,74.652,4,183,0,0,33,0,236840,14,winner
0.429,0.18,10,-10.694,1,0.0551,0.864,4.4e-06,0.104,0.485,170.645,3,183,0,0,33,0,154800,14,winner
0.658,0.158,0,-13.699,1,0.0284,0.903,2.42e-05,0.298,0.322,90.329,4,183,0,0,32,0,186093,14,winner
0.675,0.266,5,-11.966,0,0.0261,0.784,0.000659,0.132,0.434,98.802,4,183,0,0,31,0,253333,14,winner
0.546,0.0626,9,-15.877,1,0.0433,0.833,3.39e-06,0.088,0.39,79.763,4,183,0,0,31,0,162040,14,winner
0.661,0.189,1,-10.23,1,0.0282,0.8,0.000112,0.094,0.378,132.243,4,183,0,0,31,0,185768,14,winner
0.58,0.351,2,-11.587,1,0.0305,0.81,0.000476,0.0676,0.355,150.456,4,183,0,0,31,0,251828,14,winner
0.331,0.138,1,-16.629,1,0.0345,0.914,0.00665,0.101,0.164,85.465,3,183,0,0,30,0,165136,14,winner
0.379,0.0462,0,-14.719,1,0.0445,0.978,0.000931,0.0912,0.147,80.641,3,183,0,0,30,0,187769,14,winner
0.841,0.63,1,-5.356,1,0.0443,0.0725,0.0,0.0742,0.876,97.964,4,185,0,0,66,0,294866,13,winner
0.853,0.811,6,-4.927,0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,4,185,0,0,61,0,283626,13,winner
0.811,0.784,10,-6.972,0,0.0789,0.268,0.187,0.156,0.898,92.91,4,185,0,0,42,0,271333,13,winner
0.521,0.581,0,-7.698,1,0.0506,0.172,0.0153,0.225,0.714,74.816,4,185,0,0,41,0,374333,13,winner
0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,4,185,0,0,75,0,288333,13,winner
0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,4,185,0,0,78,0,267266,13,winner
0.812,0.674,5,-10.857,0,0.0612,0.244,0.0408,0.0936,0.88,117.027,4,185,0,0,38,0,298840,13,winner
0.802,0.645,5,-5.359,1,0.0512,0.259,0.0,0.0386,0.821,102.001,4,185,0,0,43,0,287266,13,winner
0.588,0.409,0,-7.507,0,0.048,0.453,5.07e-06,0.0726,0.262,130.221,4,185,0,0,36,0,275666,13,winner
0.866,0.695,6,-5.818,0,0.121,0.556,5.67e-05,0.0906,0.879,103.895,4,185,0,0,35,0,331160,13,winner
0.832,0.756,1,-7.948,0,0.0748,0.0798,0.000111,0.0452,0.682,99.882,4,185,0,0,33,0,269640,13,winner
0.711,0.653,6,-6.484,1,0.0429,0.118,1.27e-05,0.0839,0.748,90.018,4,185,0,0,36,0,284066,13,winner
0.427,0.252,1,-11.758,1,0.0315,0.831,0.0,0.103,0.292,92.551,4,185,0,0,34,0,274733,13,winner
0.628,0.298,10,-12.571,1,0.0296,0.639,0.000442,0.101,0.391,98.966,3,185,0,1,63,0,238750,12,winner
0.666,0.469,0,-10.054,1,0.0434,0.453,0.0,0.0384,0.591,130.488,4,185,0,1,39,0,227655,12,winner
0.322,0.428,8,-9.102,1,0.0476,0.738,0.0,0.138,0.245,186.329,3,185,0,1,54,0,235401,12,winner
0.5,0.395,5,-8.781,0,0.0288,0.717,0.000386,0.11,0.212,120.148,4,185,0,1,53,0,239272,12,winner
0.671,0.417,11,-10.209,0,0.21,0.402,0.0,0.12,0.331,133.557,4,185,0,1,55,0,210854,12,winner
0.563,0.384,2,-9.017,1,0.029,0.56,1.47e-05,0.131,0.332,134.824,4,185,0,1,44,0,274910,12,winner
0.188,0.177,2,-11.521,1,0.0324,0.849,0.00891,0.17,0.0621,71.064,4,185,0,1,29,0,299682,12,winner
0.492,0.461,7,-10.031,0,0.0342,0.612,0.000553,0.125,0.484,73.896,4,185,0,1,30,0,315963,12,winner
0.73,0.533,9,-7.869,1,0.0392,0.679,0.000624,0.104,0.524,101.922,3,185,0,1,40,0,265202,12,winner
0.42,0.569,10,-8.768,1,0.0994,0.278,0.0,0.153,0.559,169.342,4,185,0,1,30,0,272508,12,winner
0.167,0.26,3,-11.561,1,0.031,0.856,0.000183,0.185,0.108,84.367,4,185,0,1,28,0,294590,12,winner
0.568,0.682,7,-7.227,1,0.171,0.477,0.0,0.804,0.608,147.706,4,185,0,1,49,0,222762,12,winner
0.446,0.701,9,-4.179,0,0.0295,0.0298,8.89e-06,0.0931,0.394,159.958,3,185,0,0,60,0,237000,12,winner
0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0,4,185,0,0,73,0,188960,12,winner
0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,4,185,0,0,59,0,198973,12,winner
0.583,0.584,5,-5.362,0,0.0314,0.254,0.0,0.123,0.136,140.039,4,185,0,0,65,0,219493,12,winner
0.648,0.917,2,-4.304,0,0.0605,0.000886,6.44e-06,0.0828,0.73,126.012,4,185,0,0,34,0,205906,12,winner
0.394,0.691,10,-5.124,0,0.0359,0.0195,0.0,0.394,0.314,200.027,3,185,0,0,35,0,237400,12,winner
0.48,0.614,5,-4.62,1,0.0301,0.128,0.0,0.327,0.17,141.816,4,185,0,0,29,0,279093,12,winner
0.75,0.888,0,-4.524,1,0.0426,0.0147,1.11e-06,0.0759,0.935,115.973,4,185,0,0,45,0,189306,12,winner
0.62,0.92,1,-4.697,0,0.0408,0.00163,0.0,0.23,0.572,105.038,4,185,0,0,32,0,220066,12,winner
0.622,0.764,9,-4.957,0,0.0363,0.0158,0.0,0.0891,0.642,88.984,4,185,0,0,28,0,200466,12,winner
0.546,0.841,7,-4.589,0,0.0374,0.00503,4.8e-05,0.0971,0.175,99.325,3,185,0,0,28,0,233666,12,winner
